point num,ROS -> PCL2 (XYZRGB/XYZ),ROS -> PCL2 (XYZRGB/XYZRGB),ROS -> PCL2 (XYZRGBNORMAL/XYZ),ROS -> PCL2 (XYZRGBNORMAL/XYZRGB),ROS -> PCL2 (XYZRGBNORMAL/XYZNORMAL),ROS -> PCL2 (XYZRGBNORMAL/NORMAL),ROS -> PCL2 (XYZRGBNORMAL/XYZRGBNORMAL),PCL2 -> PCL (XYZRGB/XYZ),PCL2 -> PCL (XYZRGB/XYZRGB),PCL2 -> PCL (XYZRGBNORMAL/XYZ),PCL2 -> PCL (XYZRGBNORMAL/XYZRGB),PCL2 -> PCL (XYZRGBNORMAL/XYZNORMAL),PCL2 -> PCL (XYZRGBNORMAL/NORMAL),PCL2 -> PCL (XYZRGBNORMAL/XYZRGBNORMAL),PCL -> PCL2 (XYZRGB/XYZ),PCL -> PCL2 (XYZRGB/XYZRGB),PCL -> PCL2 (XYZRGBNORMAL/XYZ),PCL -> PCL2 (XYZRGBNORMAL/XYZRGB),PCL -> PCL2 (XYZRGBNORMAL/XYZNORMAL),PCL -> PCL2 (XYZRGBNORMAL/NORMAL),PCL -> PCL2 (XYZRGBNORMAL/XYZRGBNORMAL),PCL2 -> ROS (XYZRGB/XYZ),PCL2 -> ROS (XYZRGB/XYZRGB),PCL2 -> ROS (XYZRGBNORMAL/XYZ),PCL2 -> ROS (XYZRGBNORMAL/XYZRGB),PCL2 -> ROS (XYZRGBNORMAL/XYZNORMAL),PCL2 -> ROS (XYZRGBNORMAL/NORMAL),PCL2 -> ROS (XYZRGBNORMAL/XYZRGBNORMAL),ROS -> PCL (XYZRGB/XYZ),ROS -> PCL (XYZRGB/XYZRGB),ROS -> PCL (XYZRGBNORMAL/XYZ),ROS -> PCL (XYZRGBNORMAL/XYZRGB),ROS -> PCL (XYZRGBNORMAL/XYZNORMAL),ROS -> PCL (XYZRGBNORMAL/NORMAL),ROS -> PCL (XYZRGBNORMAL/XYZRGBNORMAL),PCL -> ROS (XYZRGB/XYZ),PCL -> ROS (XYZRGB/XYZRGB),PCL -> ROS (XYZRGBNORMAL/XYZ),PCL -> ROS (XYZRGBNORMAL/XYZRGB),PCL -> ROS (XYZRGBNORMAL/XYZNORMAL),PCL -> ROS (XYZRGBNORMAL/NORMAL),PCL -> ROS (XYZRGBNORMAL/XYZRGBNORMAL)
307200,0.005,0.002,0.004,0.005,0.005,0.005,0.005,0.05,0.008,0.05,0.07,0.071,0.07,0.01,0.004,0.005,0.007,0.006,0.006,0.006,0.007,0.002,0.002,0.004,0.004,0.004,0.004,0.004,0.052,0.011,0.053,0.074,0.074,0.073,0.013,0.004,0.004,0.007,0.006,0.006,0.007,0.007,
317440,0.003,0.003,0.004,0.002,0.003,0.004,0.003,0.052,0.008,0.052,0.072,0.073,0.072,0.01,0.004,0.004,0.007,0.006,0.006,0.006,0.006,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.054,0.01,0.056,0.075,0.076,0.075,0.014,0.004,0.005,0.006,0.006,0.006,0.006,0.006,
327680,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.052,0.008,0.054,0.074,0.075,0.075,0.01,0.004,0.005,0.007,0.006,0.006,0.006,0.006,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.055,0.011,0.057,0.078,0.079,0.077,0.014,0.005,0.004,0.007,0.006,0.006,0.006,0.006,
337920,0.003,0.004,0.005,0.003,0.003,0.004,0.004,0.054,0.008,0.056,0.077,0.078,0.077,0.01,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.003,0.003,0.005,0.002,0.004,0.004,0.004,0.056,0.012,0.059,0.081,0.08,0.08,0.014,0.005,0.005,0.007,0.006,0.007,0.007,0.006,
348160,0.003,0.003,0.004,0.005,0.004,0.004,0.005,0.056,0.009,0.057,0.078,0.08,0.079,0.01,0.005,0.005,0.007,0.007,0.006,0.007,0.007,0.003,0.003,0.005,0.003,0.004,0.003,0.003,0.058,0.012,0.061,0.083,0.084,0.083,0.016,0.005,0.005,0.008,0.007,0.006,0.007,0.006,
358400,0.003,0.003,0.005,0.005,0.004,0.004,0.004,0.058,0.009,0.059,0.08,0.082,0.082,0.011,0.005,0.005,0.007,0.007,0.007,0.007,0.007,0.002,0.003,0.005,0.004,0.003,0.003,0.003,0.061,0.012,0.063,0.085,0.086,0.086,0.016,0.005,0.005,0.007,0.007,0.007,0.006,0.007,
368640,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.059,0.009,0.061,0.084,0.085,0.084,0.011,0.005,0.006,0.007,0.006,0.007,0.007,0.007,0.004,0.003,0.005,0.004,0.004,0.004,0.004,0.062,0.012,0.065,0.088,0.088,0.087,0.015,0.005,0.005,0.008,0.007,0.006,0.007,0.007,
378880,0.004,0.003,0.006,0.004,0.005,0.004,0.004,0.061,0.01,0.062,0.086,0.087,0.087,0.012,0.005,0.005,0.008,0.007,0.007,0.007,0.007,0.004,0.003,0.005,0.004,0.004,0.004,0.004,0.064,0.014,0.067,0.09,0.09,0.09,0.017,0.006,0.005,0.007,0.007,0.007,0.007,0.007,
389120,0.003,0.004,0.006,0.004,0.005,0.004,0.005,0.063,0.01,0.063,0.088,0.089,0.089,0.012,0.006,0.006,0.009,0.007,0.008,0.007,0.008,0.003,0.003,0.005,0.004,0.004,0.004,0.004,0.066,0.013,0.068,0.093,0.093,0.093,0.017,0.005,0.005,0.009,0.007,0.007,0.007,0.007,
399360,0.004,0.003,0.005,0.006,0.004,0.007,0.006,0.065,0.011,0.065,0.091,0.092,0.091,0.013,0.005,0.005,0.008,0.007,0.007,0.009,0.008,0.003,0.003,0.006,0.004,0.004,0.005,0.005,0.068,0.014,0.07,0.095,0.096,0.096,0.018,0.006,0.006,0.008,0.007,0.008,0.008,0.009,
